Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00022_10653_11900	CDS	null	UPF0755 protein	10653	11900	+	
3300049256 assembled Ga0508132_00022_12220_12900	CDS	null	guanylate kinase	12220	12900	+	
3300049256 assembled Ga0508132_00022_1258_3111	CDS	null	di/tricarboxylate transporter	1258	3111	-	
3300049256 assembled Ga0508132_00022_13011_13478	CDS	null	hypothetical protein	13011	13478	+	
3300049256 assembled Ga0508132_00022_13646_14299	CDS	null	glutathione S-transferase	13646	14299	-	
3300049256 assembled Ga0508132_00022_14384_15604	CDS	null	polyhydroxyalkanoate depolymerase	14384	15604	+	
3300049256 assembled Ga0508132_00022_15636_15905	CDS	null	hypothetical protein	15636	15905	+	
3300049256 assembled Ga0508132_00022_15976_16380	CDS	null	septation ring formation regulator EzrA	15976	16380	-	
3300049256 assembled Ga0508132_00022_16848_17543	CDS	null	two-component system cell cycle response regulator CtrA	16848	17543	+	
3300049256 assembled Ga0508132_00022_17818_18471	CDS	null	histidine phosphotransferase ChpT	17818	18471	-	
3300049256 assembled Ga0508132_00022_18750_19514	CDS	null	3'(2'), 5'-bisphosphate nucleotidase	18750	19514	+	
3300049256 assembled Ga0508132_00022_19788_20693	CDS	null	hypothetical protein	19788	20693	+	
3300049256 assembled Ga0508132_00022_20841_22397	CDS	null	predicted  nucleic acid-binding Zn-ribbon protein	20841	22397	+	
3300049256 assembled Ga0508132_00022_22546_23307	CDS	null	serine/threonine protein phosphatase 1	22546	23307	-	
3300049256 assembled Ga0508132_00022_23532_24701	CDS	null	TRAP transporter TAXI family solute receptor	23532	24701	+	
3300049256 assembled Ga0508132_00022_24753_27224	CDS	null	hypothetical protein	24753	27224	+	
3300049256 assembled Ga0508132_00022_27230_27442	CDS	null	SlyX protein	27230	27442	+	
3300049256 assembled Ga0508132_00022_27487_28398	CDS	null	protein-L-isoaspartate(D-aspartate) O-methyltransferase	27487	28398	-	
3300049256 assembled Ga0508132_00022_28531_28782	CDS	null	hypothetical protein	28531	28782	-	
3300049256 assembled Ga0508132_00022_28955_29030	tRNA	null	tRNA_Ala_GGC	28955	29030	-	
3300049256 assembled Ga0508132_00022_29098_29193	CDS	null	hypothetical protein	29098	29193	-	
3300049256 assembled Ga0508132_00022_29352_29744	CDS	null	uncharacterized protein (TIGR02300 family)	29352	29744	-	
3300049256 assembled Ga0508132_00022_29728_29865	CDS	null	hypothetical protein	29728	29865	-	
3300049256 assembled Ga0508132_00022_29986_31332	CDS	null	3-phosphoshikimate 1-carboxyvinyltransferase	29986	31332	+	
3300049256 assembled Ga0508132_00022_31329_31958	CDS	null	cytidylate kinase	31329	31958	+	
3300049256 assembled Ga0508132_00022_32150_33880	CDS	null	small subunit ribosomal protein S1	32150	33880	+	
3300049256 assembled Ga0508132_00022_3331_4848	CDS	null	succinyl-CoA:acetate CoA-transferase	3331	4848	-	
3300049256 assembled Ga0508132_00022_33959_34942	CDS	null	protease-4	33959	34942	+	
3300049256 assembled Ga0508132_00022_34947_35279	CDS	null	integration host factor subunit beta	34947	35279	+	
3300049256 assembled Ga0508132_00022_35316_35681	CDS	null	uncharacterized integral membrane protein	35316	35681	+	
3300049256 assembled Ga0508132_00022_35844_36536	CDS	null	phosphoribosylanthranilate isomerase	35844	36536	+	
3300049256 assembled Ga0508132_00022_36523_37755	CDS	null	tryptophan synthase beta chain	36523	37755	+	
3300049256 assembled Ga0508132_00022_37789_38607	CDS	null	tryptophan synthase alpha chain	37789	38607	+	
3300049256 assembled Ga0508132_00022_38657_39685	CDS	null	acetyl-CoA carboxylase carboxyl transferase subunit beta	38657	39685	+	
3300049256 assembled Ga0508132_00022_39730_41052	CDS	null	dihydrofolate synthase/folylpolyglutamate synthase	39730	41052	+	
3300049256 assembled Ga0508132_00022_3_563	CDS	null	predicted ATPase	3	563	-	
3300049256 assembled Ga0508132_00022_41115_42041	CDS	null	hypothetical protein	41115	42041	-	
3300049256 assembled Ga0508132_00022_42240_43109	CDS	null	3-hydroxyisobutyrate dehydrogenase	42240	43109	-	
3300049256 assembled Ga0508132_00022_43153_44439	CDS	null	putative hemolysin	43153	44439	-	
3300049256 assembled Ga0508132_00022_44577_45185	CDS	null	hypothetical protein	44577	45185	+	
3300049256 assembled Ga0508132_00022_45342_46391	CDS	null	branched-chain amino acid transport system permease protein	45342	46391	-	
3300049256 assembled Ga0508132_00022_46391_47509	CDS	null	branched-chain amino acid transport system permease protein	46391	47509	-	
3300049256 assembled Ga0508132_00022_47582_48793	CDS	null	branched-chain amino acid transport system substrate-binding protein	47582	48793	-	
3300049256 assembled Ga0508132_00022_48828_49607	CDS	null	branched-chain amino acid transport system ATP-binding protein	48828	49607	-	
3300049256 assembled Ga0508132_00022_49600_50355	CDS	null	branched-chain amino acid transport system ATP-binding protein	49600	50355	-	
3300049256 assembled Ga0508132_00022_50441_51301	CDS	null	hypothetical protein	50441	51301	-	
3300049256 assembled Ga0508132_00022_5132_5710	CDS	null	large subunit ribosomal protein L9	5132	5710	-	
