Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00875_1637_2494	CDS	null	hypothetical protein	1637	2494	+	
3300049256 assembled Ga0508132_00875_2498_3055	CDS	null	predicted N-acetyltransferase YhbS	2498	3055	-	
3300049256 assembled Ga0508132_00875_3083_3559	CDS	null	8-oxo-dGTP pyrophosphatase MutT (NUDIX family)	3083	3559	-	
3300049256 assembled Ga0508132_00875_3658_4179	CDS	null	CheY-like chemotaxis protein	3658	4179	+	
3300049256 assembled Ga0508132_00875_3_1604	CDS	null	hypothetical protein	3	1604	+	
3300049256 assembled Ga0508132_00875_4176_4709	CDS	null	HPt (histidine-containing phosphotransfer) domain-containing protein	4176	4709	+	
3300049256 assembled Ga0508132_00875_4765_5634	CDS	null	chemotaxis protein MotA	4765	5634	+	
3300049256 assembled Ga0508132_00875_5641_5829	CDS	null	hypothetical protein	5641	5829	-	
3300049256 assembled Ga0508132_00875_5899_6144	CDS	null	hypothetical protein	5899	6144	-	
3300049256 assembled Ga0508132_00875_6263_7522	CDS	null	threonine dehydratase	6263	7522	-	
3300049256 assembled Ga0508132_00875_7519_8055	CDS	null	polyhydroxybutyrate depolymerase	7519	8055	-	
