Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00027_10475_10747	CDS	null	large subunit ribosomal protein L27	10475	10747	-	
3300049256 assembled Ga0508132_00027_10835_11305	CDS	null	large subunit ribosomal protein L21	10835	11305	-	
3300049256 assembled Ga0508132_00027_11326_11526	CDS	null	hypothetical protein	11326	11526	+	
3300049256 assembled Ga0508132_00027_11563_12729	CDS	null	predicted NBD/HSP70 family sugar kinase	11563	12729	+	
3300049256 assembled Ga0508132_00027_1290_1772	CDS	null	23S rRNA (pseudouridine1915-N3)-methyltransferase	1290	1772	-	
3300049256 assembled Ga0508132_00027_13024_13113	tRNA	null	tRNA_Ser_CGA	13024	13113	+	
3300049256 assembled Ga0508132_00027_13599_13826	CDS	null	antirestriction protein ArdC	13599	13826	+	
3300049256 assembled Ga0508132_00027_13833_14129	CDS	null	hypothetical protein	13833	14129	+	
3300049256 assembled Ga0508132_00027_14083_15117	CDS	null	hypothetical protein	14083	15117	+	
3300049256 assembled Ga0508132_00027_15415_17220	CDS	null	tetratricopeptide (TPR) repeat protein	15415	17220	-	
3300049256 assembled Ga0508132_00027_17698_25416	CDS	null	Ca2+-binding RTX toxin-like protein	17698	25416	+	
3300049256 assembled Ga0508132_00027_1904_2356	CDS	null	ribosome-associated protein	1904	2356	-	
3300049256 assembled Ga0508132_00027_25500_27227	CDS	null	ATP-binding cassette subfamily C protein	25500	27227	+	
3300049256 assembled Ga0508132_00027_2571_3200	CDS	null	nicotinate-nucleotide adenylyltransferase	2571	3200	-	
3300049256 assembled Ga0508132_00027_27224_29530	CDS	null	Ca2+-binding RTX toxin-like protein	27224	29530	+	
3300049256 assembled Ga0508132_00027_29560_30906	CDS	null	HlyD family secretion protein	29560	30906	+	
3300049256 assembled Ga0508132_00027_2_1252	CDS	null	septal ring factor EnvC (AmiA/AmiB activator)	2	1252	-	
3300049256 assembled Ga0508132_00027_30939_31499	CDS	null	hemolysin-activating ACP:hemolysin acyltransferase	30939	31499	+	
3300049256 assembled Ga0508132_00027_31560_32327	CDS	null	cytidyltransferase-like protein	31560	32327	+	
3300049256 assembled Ga0508132_00027_3225_4517	CDS	null	glutamate-5-semialdehyde dehydrogenase	3225	4517	-	
3300049256 assembled Ga0508132_00027_32415_32804	CDS	null	hypothetical protein	32415	32804	+	
3300049256 assembled Ga0508132_00027_33102_34172	CDS	null	branched-chain amino acid transport system substrate-binding protein	33102	34172	+	
3300049256 assembled Ga0508132_00027_34195_34800	CDS	null	AmiR/NasT family two-component response regulator	34195	34800	+	
3300049256 assembled Ga0508132_00027_34916_36187	CDS	null	urea transport system substrate-binding protein	34916	36187	+	
3300049256 assembled Ga0508132_00027_36251_37120	CDS	null	urea transport system permease protein	36251	37120	+	
3300049256 assembled Ga0508132_00027_37117_38268	CDS	null	urea transport system permease protein	37117	38268	+	
3300049256 assembled Ga0508132_00027_38265_39017	CDS	null	urea transport system ATP-binding protein	38265	39017	+	
3300049256 assembled Ga0508132_00027_39010_39711	CDS	null	urea transport system ATP-binding protein	39010	39711	+	
3300049256 assembled Ga0508132_00027_39749_40789	CDS	null	amidase	39749	40789	+	
3300049256 assembled Ga0508132_00027_40943_41743	CDS	null	nitric oxide reductase NorQ protein	40943	41743	+	
3300049256 assembled Ga0508132_00027_41760_44027	CDS	null	uncharacterized protein YegL	41760	44027	+	
