Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00006_100046_101143	CDS	null	methylthioribose-1-phosphate isomerase	100046	101143	+	
3300049256 assembled Ga0508132_00006_101374_101982	CDS	null	hypothetical protein	101374	101982	-	
3300049256 assembled Ga0508132_00006_102399_103358	CDS	null	arginase family enzyme	102399	103358	+	
3300049256 assembled Ga0508132_00006_10239_11834	CDS	null	aldehyde dehydrogenase	10239	11834	+	
3300049256 assembled Ga0508132_00006_103399_103908	CDS	null	transcriptional antiterminator RfaH	103399	103908	-	
3300049256 assembled Ga0508132_00006_104290_105240	CDS	null	GDP-L-fucose synthase	104290	105240	+	
3300049256 assembled Ga0508132_00006_105244_106311	CDS	null	GDPmannose 4,6-dehydratase	105244	106311	+	
3300049256 assembled Ga0508132_00006_106396_107844	CDS	null	glycosyltransferase involved in cell wall biosynthesis	106396	107844	-	
3300049256 assembled Ga0508132_00006_108073_110505	CDS	null	hypothetical protein	108073	110505	-	
3300049256 assembled Ga0508132_00006_110645_111967	CDS	null	O-antigen/teichoic acid export membrane protein	110645	111967	-	
3300049256 assembled Ga0508132_00006_111981_112760	CDS	null	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	111981	112760	-	
3300049256 assembled Ga0508132_00006_112803_113447	CDS	null	SAM-dependent methyltransferase	112803	113447	-	
3300049256 assembled Ga0508132_00006_113437_114750	CDS	null	glycosyltransferase involved in cell wall biosynthesis	113437	114750	-	
3300049256 assembled Ga0508132_00006_114759_116669	CDS	null	asparagine synthase (glutamine-hydrolysing)	114759	116669	-	
3300049256 assembled Ga0508132_00006_116678_117448	CDS	null	SAM-dependent methyltransferase	116678	117448	-	
3300049256 assembled Ga0508132_00006_117717_119744	CDS	null	glycosyltransferase involved in cell wall biosynthesis	117717	119744	-	
3300049256 assembled Ga0508132_00006_119919_120500	CDS	null	putative colanic acid biosynthesis acetyltransferase WcaF	119919	120500	-	
3300049256 assembled Ga0508132_00006_12035_12802	CDS	null	cytochrome c	12035	12802	+	
3300049256 assembled Ga0508132_00006_120497_122068	CDS	null	hypothetical protein	120497	122068	-	
3300049256 assembled Ga0508132_00006_122138_122932	CDS	null	FkbM family methyltransferase	122138	122932	-	
3300049256 assembled Ga0508132_00006_123139_123858	CDS	null	ubiquinone/menaquinone biosynthesis C-methylase UbiE	123139	123858	-	
3300049256 assembled Ga0508132_00006_123937_125313	CDS	null	glycine/D-amino acid oxidase-like deaminating enzyme	123937	125313	-	
3300049256 assembled Ga0508132_00006_125310_126431	CDS	null	dTDP-4-amino-4,6-dideoxygalactose transaminase	125310	126431	-	
3300049256 assembled Ga0508132_00006_126461_127327	CDS	null	glycosyltransferase involved in cell wall biosynthesis	126461	127327	-	
3300049256 assembled Ga0508132_00006_128142_130847	CDS	null	CRISPR-associated endonuclease/helicase Cas3	128142	130847	+	
3300049256 assembled Ga0508132_00006_12984_13406	CDS	null	cytochrome c-550 PedF	12984	13406	+	
3300049256 assembled Ga0508132_00006_130874_130990	CDS	null	hypothetical protein	130874	130990	+	
3300049256 assembled Ga0508132_00006_130987_131472	CDS	null	hypothetical protein	130987	131472	+	
3300049256 assembled Ga0508132_00006_131586_133241	CDS	null	CRISPR system Cascade subunit CasA	131586	133241	+	
3300049256 assembled Ga0508132_00006_133238_133867	CDS	null	CRISPR system Cascade subunit CasB	133238	133867	+	
3300049256 assembled Ga0508132_00006_133895_135001	CDS	null	CRISPR system Cascade subunit CasC	133895	135001	+	
3300049256 assembled Ga0508132_00006_135006_135767	CDS	null	CRISPR system Cascade subunit CasD	135006	135767	+	
3300049256 assembled Ga0508132_00006_135764_136588	CDS	null	CRISPR system Cascade subunit CasE	135764	136588	+	
3300049256 assembled Ga0508132_00006_136592_137542	CDS	null	CRISPR-associated protein Cas1	136592	137542	+	
3300049256 assembled Ga0508132_00006_137526_137834	CDS	null	CRISPR-associated protein Cas2	137526	137834	+	
3300049256 assembled Ga0508132_00006_13820_14320	CDS	null	mono/diheme cytochrome c family protein	13820	14320	-	
3300049256 assembled Ga0508132_00006_138742_139152	CDS	null	hypothetical protein	138742	139152	+	
3300049256 assembled Ga0508132_00006_139220_139624	CDS	null	hypothetical protein	139220	139624	-	
3300049256 assembled Ga0508132_00006_139621_140217	CDS	null	uncharacterized phage-associated protein	139621	140217	-	
3300049256 assembled Ga0508132_00006_140296_141255	CDS	null	transposase-like protein	140296	141255	-	
3300049256 assembled Ga0508132_00006_141370_141600	CDS	null	transcriptional regulator with XRE-family HTH domain	141370	141600	+	
3300049256 assembled Ga0508132_00006_141756_142265	CDS	null	DNA-binding transcriptional ArsR family regulator	141756	142265	-	
3300049256 assembled Ga0508132_00006_14311_14931	CDS	null	uncharacterized protein YjbI with pentapeptide repeats	14311	14931	-	
3300049256 assembled Ga0508132_00006_143429_143887	CDS	null	hypothetical protein	143429	143887	+	
3300049256 assembled Ga0508132_00006_143905_144186	CDS	null	hypothetical protein	143905	144186	-	
