Gene ID	Locus Type	Locus Tag	Gene Product Name	Start Coord	End Coord	Strand	
3300049256 assembled Ga0508132_00002_10049_11083	CDS	null	regulator of sigma E protease	10049	11083	-	
3300049256 assembled Ga0508132_00002_100563_101015	CDS	null	vacuolar-type H+-ATPase subunit H	100563	101015	-	
3300049256 assembled Ga0508132_00002_101045_101515	CDS	null	pantetheine-phosphate adenylyltransferase	101045	101515	-	
3300049256 assembled Ga0508132_00002_1014_2057	CDS	null	N utilization substance protein A	1014	2057	-	
3300049256 assembled Ga0508132_00002_101539_102096	CDS	null	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	101539	102096	-	
3300049256 assembled Ga0508132_00002_102256_103947	CDS	null	hypothetical protein	102256	103947	+	
3300049256 assembled Ga0508132_00002_103975_104670	CDS	null	cell wall-associated NlpC family hydrolase	103975	104670	-	
3300049256 assembled Ga0508132_00002_104833_104909	tRNA	null	tRNA_Pro_CGG	104833	104909	+	
3300049256 assembled Ga0508132_00002_105184_105259	tRNA	null	tRNA_Gln_TTG	105184	105259	+	
3300049256 assembled Ga0508132_00002_105294_107414	CDS	null	elongation factor G	105294	107414	-	
3300049256 assembled Ga0508132_00002_107428_107868	CDS	null	hypothetical protein	107428	107868	+	
3300049256 assembled Ga0508132_00002_107881_108393	CDS	null	cob(I)alamin adenosyltransferase	107881	108393	-	
3300049256 assembled Ga0508132_00002_108403_108822	CDS	null	nucleoside-diphosphate kinase	108403	108822	-	
3300049256 assembled Ga0508132_00002_108836_109351	CDS	null	carbonic anhydrase/acetyltransferase-like protein (isoleucine patch superfamily)	108836	109351	-	
3300049256 assembled Ga0508132_00002_109348_110421	CDS	null	endoglucanase	109348	110421	-	
3300049256 assembled Ga0508132_00002_110618_111028	CDS	null	S-adenosylmethionine decarboxylase	110618	111028	-	
3300049256 assembled Ga0508132_00002_11106_12263	CDS	null	1-deoxy-D-xylulose-5-phosphate reductoisomerase	11106	12263	-	
3300049256 assembled Ga0508132_00002_111151_111909	CDS	null	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase in catechol pathway	111151	111909	-	
3300049256 assembled Ga0508132_00002_112002_112841	CDS	null	heat shock protein HtpX	112002	112841	-	
3300049256 assembled Ga0508132_00002_113008_113445	CDS	null	ribosome-associated toxin RatA of RatAB toxin-antitoxin module	113008	113445	-	
3300049256 assembled Ga0508132_00002_113459_114712	CDS	null	putrescine aminotransferase	113459	114712	-	
3300049256 assembled Ga0508132_00002_114859_115023	CDS	null	hypothetical protein	114859	115023	-	
3300049256 assembled Ga0508132_00002_115265_115456	CDS	null	hypothetical protein	115265	115456	-	
3300049256 assembled Ga0508132_00002_115481_115657	CDS	null	hypothetical protein	115481	115657	+	
3300049256 assembled Ga0508132_00002_115789_116706	CDS	null	hypothetical protein	115789	116706	-	
3300049256 assembled Ga0508132_00002_116930_117448	CDS	null	hypothetical protein	116930	117448	-	
3300049256 assembled Ga0508132_00002_117633_118046	CDS	null	hemerythrin	117633	118046	-	
3300049256 assembled Ga0508132_00002_118206_118436	CDS	null	hypothetical protein	118206	118436	-	
3300049256 assembled Ga0508132_00002_118446_120143	CDS	null	DNA polymerase-4	118446	120143	-	
3300049256 assembled Ga0508132_00002_120118_120246	CDS	null	ABC-type uncharacterized transport system permease subunit	120118	120246	-	
3300049256 assembled Ga0508132_00002_120340_121560	CDS	null	PAS domain S-box-containing protein	120340	121560	-	
3300049256 assembled Ga0508132_00002_121830_122384	CDS	null	rubrerythrin	121830	122384	-	
3300049256 assembled Ga0508132_00002_122655_123518	CDS	null	uncharacterized membrane-anchored protein YitT (DUF2179 family)	122655	123518	+	
3300049256 assembled Ga0508132_00002_12285_13109	CDS	null	phosphatidate cytidylyltransferase	12285	13109	-	
3300049256 assembled Ga0508132_00002_123696_124334	CDS	null	hemerythrin-like domain-containing protein	123696	124334	-	
3300049256 assembled Ga0508132_00002_124534_125691	CDS	null	chromate transporter	124534	125691	-	
3300049256 assembled Ga0508132_00002_125949_126296	CDS	null	hypothetical protein	125949	126296	-	
3300049256 assembled Ga0508132_00002_126327_127604	CDS	null	glutamate dehydrogenase/leucine dehydrogenase	126327	127604	-	
3300049256 assembled Ga0508132_00002_127823_129025	CDS	null	sugar diacid utilization regulator	127823	129025	-	
3300049256 assembled Ga0508132_00002_129280_130395	CDS	null	4-hydroxybutyrate dehydrogenase	129280	130395	-	
3300049256 assembled Ga0508132_00002_130408_131760	CDS	null	4-aminobutyrate aminotransferase/(S)-3-amino-2-methylpropionate transaminase	130408	131760	-	
3300049256 assembled Ga0508132_00002_13119_13898	CDS	null	undecaprenyl diphosphate synthase	13119	13898	-	
3300049256 assembled Ga0508132_00002_131903_133312	CDS	null	aminobenzoyl-glutamate utilization protein B	131903	133312	-	
3300049256 assembled Ga0508132_00002_133384_134586	CDS	null	N-carbamoyl-L-amino-acid hydrolase	133384	134586	-	
3300049256 assembled Ga0508132_00002_134631_135407	CDS	null	branched-chain amino acid transport system ATP-binding protein	134631	135407	-	
3300049256 assembled Ga0508132_00002_135325_136110	CDS	null	branched-chain amino acid transport system ATP-binding protein	135325	136110	-	
3300049256 assembled Ga0508132_00002_136103_137152	CDS	null	branched-chain amino acid transport system permease protein	136103	137152	-	
3300049256 assembled Ga0508132_00002_137152_138027	CDS	null	branched-chain amino acid transport system permease protein	137152	138027	-	
3300049256 assembled Ga0508132_00002_138103_139266	CDS	null	branched-chain amino acid transport system substrate-binding protein	138103	139266	-	
3300049256 assembled Ga0508132_00002_139418_139588	CDS	null	hypothetical protein	139418	139588	+	
3300049256 assembled Ga0508132_00002_139757_140992	CDS	null	sugar diacid utilization regulator	139757	140992	-	
3300049256 assembled Ga0508132_00002_14060_14278	CDS	null	hypothetical protein	14060	14278	-	
3300049256 assembled Ga0508132_00002_140991_141233	CDS	null	hypothetical protein	140991	141233	+	
3300049256 assembled Ga0508132_00002_141253_142377	CDS	null	amidohydrolase	141253	142377	-	
3300049256 assembled Ga0508132_00002_142439_142891	CDS	null	nitroimidazol reductase NimA-like FMN-containing flavoprotein (pyridoxamine 5'-phosphate oxidase superfamily)	142439	142891	-	
3300049256 assembled Ga0508132_00002_14278_14838	CDS	null	ribosome recycling factor	14278	14838	-	
3300049256 assembled Ga0508132_00002_143527_144579	CDS	null	2-dehydropantoate 2-reductase	143527	144579	-	
3300049256 assembled Ga0508132_00002_144669_145541	CDS	null	uncharacterized protein (DUF849 family)	144669	145541	-	
3300049256 assembled Ga0508132_00002_145590_146882	CDS	null	short-chain fatty acids transporter	145590	146882	-	
3300049256 assembled Ga0508132_00002_147337_148749	CDS	null	transcriptional regulator with PAS, ATPase and Fis domain	147337	148749	-	
3300049256 assembled Ga0508132_00002_14828_15565	CDS	null	uridylate kinase	14828	15565	-	
3300049256 assembled Ga0508132_00002_149325_150716	CDS	null	hypothetical protein	149325	150716	-	
3300049256 assembled Ga0508132_00002_150775_151917	CDS	null	hypothetical protein	150775	151917	-	
3300049256 assembled Ga0508132_00002_152060_153907	CDS	null	Ca-activated chloride channel family protein	152060	153907	-	
3300049256 assembled Ga0508132_00002_154158_154760	CDS	null	RNA polymerase sigma-70 factor (ECF subfamily)	154158	154760	+	
3300049256 assembled Ga0508132_00002_154732_155697	CDS	null	hypothetical protein	154732	155697	+	
3300049256 assembled Ga0508132_00002_155831_156367	CDS	null	hypothetical protein	155831	156367	-	
3300049256 assembled Ga0508132_00002_156418_156972	CDS	null	hypothetical protein	156418	156972	-	
3300049256 assembled Ga0508132_00002_15674_16321	CDS	null	elongation factor Ts	15674	16321	-	
3300049256 assembled Ga0508132_00002_157029_157892	CDS	null	hypothetical protein	157029	157892	-	
3300049256 assembled Ga0508132_00002_157965_158555	CDS	null	tetratricopeptide (TPR) repeat protein	157965	158555	-	
3300049256 assembled Ga0508132_00002_158718_159299	CDS	null	hypothetical protein	158718	159299	-	
3300049256 assembled Ga0508132_00002_159355_160473	CDS	null	hypothetical protein	159355	160473	-	
3300049256 assembled Ga0508132_00002_160641_161228	CDS	null	hypothetical protein	160641	161228	-	
3300049256 assembled Ga0508132_00002_161272_161682	CDS	null	hypothetical protein	161272	161682	-	
3300049256 assembled Ga0508132_00002_161876_162913	CDS	null	hypothetical protein	161876	162913	-	
3300049256 assembled Ga0508132_00002_163175_163516	CDS	null	hypothetical protein	163175	163516	-	
3300049256 assembled Ga0508132_00002_163594_164304	CDS	null	hypothetical protein	163594	164304	-	
3300049256 assembled Ga0508132_00002_16388_17092	CDS	null	small subunit ribosomal protein S2	16388	17092	-	
3300049256 assembled Ga0508132_00002_164320_164658	CDS	null	hypothetical protein	164320	164658	-	
3300049256 assembled Ga0508132_00002_164737_164862	CDS	null	hypothetical protein	164737	164862	-	
3300049256 assembled Ga0508132_00002_164855_165661	CDS	null	ankyrin repeat protein	164855	165661	-	
3300049256 assembled Ga0508132_00002_165717_166199	CDS	null	hypothetical protein	165717	166199	-	
3300049256 assembled Ga0508132_00002_166247_166348	CDS	null	hypothetical protein	166247	166348	-	
3300049256 assembled Ga0508132_00002_167154_167750	CDS	null	hypothetical protein	167154	167750	-	
3300049256 assembled Ga0508132_00002_167870_168037	CDS	null	hypothetical protein	167870	168037	-	
3300049256 assembled Ga0508132_00002_168525_168601	tRNA	null	tRNA_Pro_GGG	168525	168601	-	
3300049256 assembled Ga0508132_00002_168640_169557	CDS	null	homoserine kinase	168640	169557	-	
3300049256 assembled Ga0508132_00002_169573_170859	CDS	null	homoserine dehydrogenase	169573	170859	-	
3300049256 assembled Ga0508132_00002_170881_171330	CDS	null	chorismate mutase	170881	171330	-	
3300049256 assembled Ga0508132_00002_171461_172939	CDS	null	stage IV sporulation protein A	171461	172939	-	
3300049256 assembled Ga0508132_00002_17263_17745	CDS	null	uncharacterized coiled-coil protein SlyX	17263	17745	-	
3300049256 assembled Ga0508132_00002_173176_174213	CDS	null	glycerol-3-phosphate dehydrogenase (NAD(P)+)	173176	174213	-	
3300049256 assembled Ga0508132_00002_174210_174827	CDS	null	glycerol-3-phosphate acyltransferase PlsY	174210	174827	-	
3300049256 assembled Ga0508132_00002_174854_176176	CDS	null	GTP-binding protein	174854	176176	-	
3300049256 assembled Ga0508132_00002_176207_176731	CDS	null	cob(I)alamin adenosyltransferase	176207	176731	-	
3300049256 assembled Ga0508132_00002_176735_178042	CDS	null	putative radical SAM enzyme (TIGR03279 family)	176735	178042	-	
3300049256 assembled Ga0508132_00002_178121_178468	CDS	null	hypothetical protein	178121	178468	-	
3300049256 assembled Ga0508132_00002_17827_18147	CDS	null	hypothetical protein	17827	18147	-	
3300049256 assembled Ga0508132_00002_178573_178989	CDS	null	hypothetical protein	178573	178989	-	
3300049256 assembled Ga0508132_00002_178986_180098	CDS	null	stage II sporulation protein P	178986	180098	-	
3300049256 assembled Ga0508132_00002_180142_180906	CDS	null	uncharacterized membrane protein	180142	180906	-	
3300049256 assembled Ga0508132_00002_180987_182033	CDS	null	isopentenyl-diphosphate delta-isomerase	180987	182033	-	
3300049256 assembled Ga0508132_00002_18172_19785	CDS	null	uncharacterized protein (DUF342 family)	18172	19785	-	
3300049256 assembled Ga0508132_00002_182063_184033	CDS	null	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	182063	184033	-	
3300049256 assembled Ga0508132_00002_184153_186003	CDS	null	carbon starvation protein	184153	186003	-	
3300049256 assembled Ga0508132_00002_186199_186936	CDS	null	two-component system LytT family response regulator/two-component system response regulator LytT	186199	186936	-	
3300049256 assembled Ga0508132_00002_186960_188657	CDS	null	two-component system sensor histidine kinase LytS	186960	188657	-	
3300049256 assembled Ga0508132_00002_188664_189269	CDS	null	1-acyl-sn-glycerol-3-phosphate acyltransferase	188664	189269	-	
3300049256 assembled Ga0508132_00002_189256_189936	CDS	null	cytidylate kinase	189256	189936	-	
3300049256 assembled Ga0508132_00002_189954_191240	CDS	null	3-phosphoshikimate 1-carboxyvinyltransferase	189954	191240	-	
3300049256 assembled Ga0508132_00002_191260_192282	CDS	null	3-deoxy-7-phosphoheptulonate synthase	191260	192282	-	
3300049256 assembled Ga0508132_00002_192367_192891	CDS	null	hypothetical protein	192367	192891	-	
3300049256 assembled Ga0508132_00002_192950_194188	CDS	null	predicted Rossmann fold flavoprotein	192950	194188	-	
3300049256 assembled Ga0508132_00002_194278_195015	CDS	null	23S rRNA pseudouridine2605 synthase	194278	195015	-	
3300049256 assembled Ga0508132_00002_195038_195877	CDS	null	NAD(P)H-flavin reductase	195038	195877	-	
3300049256 assembled Ga0508132_00002_196028_197308	CDS	null	hypothetical protein	196028	197308	-	
3300049256 assembled Ga0508132_00002_197415_197951	CDS	null	spore maturation protein B	197415	197951	-	
3300049256 assembled Ga0508132_00002_197953_198549	CDS	null	spore maturation protein A	197953	198549	-	
3300049256 assembled Ga0508132_00002_19817_20575	CDS	null	RNA polymerase sigma factor for flagellar operon FliA	19817	20575	-	
3300049256 assembled Ga0508132_00002_198637_199773	CDS	null	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)	198637	199773	-	
3300049256 assembled Ga0508132_00002_199908_200096	CDS	null	rubrerythrin	199908	200096	+	
3300049256 assembled Ga0508132_00002_200169_200579	CDS	null	sporulation protein YtfJ	200169	200579	-	
3300049256 assembled Ga0508132_00002_200554_201273	CDS	null	hypothetical protein	200554	201273	-	
3300049256 assembled Ga0508132_00002_201383_201913	CDS	null	segregation and condensation protein B	201383	201913	-	
3300049256 assembled Ga0508132_00002_201913_202629	CDS	null	segregation and condensation protein A	201913	202629	-	
3300049256 assembled Ga0508132_00002_202633_203619	CDS	null	tryptophanyl-tRNA synthetase	202633	203619	-	
3300049256 assembled Ga0508132_00002_203634_204254	CDS	null	Zn-dependent protease	203634	204254	-	
3300049256 assembled Ga0508132_00002_204268_205527	CDS	null	tRNA nucleotidyltransferase (CCA-adding enzyme)	204268	205527	-	
3300049256 assembled Ga0508132_00002_205682_207016	CDS	null	diaminopimelate decarboxylase	205682	207016	-	
3300049256 assembled Ga0508132_00002_20596_20937	CDS	null	hypothetical protein	20596	20937	-	
3300049256 assembled Ga0508132_00002_207398_208144	CDS	null	hypothetical protein	207398	208144	+	
3300049256 assembled Ga0508132_00002_208244_209086	CDS	null	NAD(P)H-dependent FMN reductase/ribosomal protein L37AE/L43A	208244	209086	-	
3300049256 assembled Ga0508132_00002_209103_209438	CDS	null	branched-subunit amino acid transport protein AzlD	209103	209438	-	
3300049256 assembled Ga0508132_00002_2091_2549	CDS	null	ribosome maturation factor RimP	2091	2549	-	
3300049256 assembled Ga0508132_00002_209435_210133	CDS	null	4-azaleucine resistance transporter AzlC	209435	210133	-	
3300049256 assembled Ga0508132_00002_20951_21436	CDS	null	chemotaxis protein CheD	20951	21436	-	
3300049256 assembled Ga0508132_00002_210130_210618	CDS	null	DNA-binding Lrp family transcriptional regulator	210130	210618	-	
3300049256 assembled Ga0508132_00002_210872_212368	CDS	null	stage V sporulation protein AF	210872	212368	-	
3300049256 assembled Ga0508132_00002_212352_212945	CDS	null	stage V sporulation protein AE	212352	212945	-	
3300049256 assembled Ga0508132_00002_212953_213672	CDS	null	hypothetical protein	212953	213672	-	
3300049256 assembled Ga0508132_00002_213682_214077	CDS	null	hypothetical protein	213682	214077	-	
3300049256 assembled Ga0508132_00002_214090_214476	CDS	null	stage V sporulation protein AE	214090	214476	-	
3300049256 assembled Ga0508132_00002_21436_22065	CDS	null	chemotaxis protein CheC	21436	22065	-	
3300049256 assembled Ga0508132_00002_214448_215458	CDS	null	stage V sporulation protein AD	214448	215458	-	
3300049256 assembled Ga0508132_00002_215468_215932	CDS	null	stage V sporulation protein AC	215468	215932	-	
3300049256 assembled Ga0508132_00002_216022_216222	CDS	null	flavin-binding protein dodecin	216022	216222	-	
3300049256 assembled Ga0508132_00002_216289_216465	CDS	null	hypothetical protein	216289	216465	-	
3300049256 assembled Ga0508132_00002_216523_217254	CDS	null	RNA polymerase sporulation-specific sigma factor	216523	217254	-	
3300049256 assembled Ga0508132_00002_217262_217693	CDS	null	stage II sporulation protein AB (anti-sigma F factor)	217262	217693	-	
3300049256 assembled Ga0508132_00002_217706_217978	CDS	null	stage II sporulation protein AA (anti-sigma F factor antagonist)	217706	217978	-	
3300049256 assembled Ga0508132_00002_218139_219170	CDS	null	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)	218139	219170	-	
3300049256 assembled Ga0508132_00002_219154_219387	CDS	null	hypothetical protein	219154	219387	-	
3300049256 assembled Ga0508132_00002_219433_220761	CDS	null	pyrimidine-nucleoside phosphorylase	219433	220761	-	
3300049256 assembled Ga0508132_00002_220767_221939	CDS	null	phosphopentomutase	220767	221939	-	
3300049256 assembled Ga0508132_00002_22088_22555	CDS	null	purine-binding chemotaxis protein CheW	22088	22555	-	
3300049256 assembled Ga0508132_00002_221971_222858	CDS	null	integrase/recombinase XerD	221971	222858	-	
3300049256 assembled Ga0508132_00002_223346_223984	CDS	null	stage II sporulation protein M	223346	223984	-	
3300049256 assembled Ga0508132_00002_224054_225241	CDS	null	uncharacterized protein (TIGR00375 family)	224054	225241	-	
3300049256 assembled Ga0508132_00002_225244_225807	CDS	null	ADP-ribose pyrophosphatase	225244	225807	-	
3300049256 assembled Ga0508132_00002_22568_24616	CDS	null	two-component system chemotaxis sensor kinase CheA	22568	24616	-	
3300049256 assembled Ga0508132_00002_226016_226696	CDS	null	hypothetical protein	226016	226696	-	
3300049256 assembled Ga0508132_00002_226805_227575	CDS	null	two-component system response regulator (stage 0 sporulation protein A)	226805	227575	-	
3300049256 assembled Ga0508132_00002_227663_229027	CDS	null	stage IV sporulation protein B	227663	229027	-	
3300049256 assembled Ga0508132_00002_229189_230889	CDS	null	DNA repair protein RecN (Recombination protein N)	229189	230889	-	
3300049256 assembled Ga0508132_00002_230908_231360	CDS	null	transcriptional regulator of arginine metabolism	230908	231360	-	
3300049256 assembled Ga0508132_00002_231360_231932	CDS	null	hypothetical protein	231360	231932	-	
3300049256 assembled Ga0508132_00002_231919_232761	CDS	null	NAD+ kinase	231919	232761	-	
3300049256 assembled Ga0508132_00002_232802_233608	CDS	null	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	232802	233608	-	
3300049256 assembled Ga0508132_00002_233608_235539	CDS	null	1-deoxy-D-xylulose-5-phosphate synthase	233608	235539	-	
3300049256 assembled Ga0508132_00002_235577_236032	CDS	null	acid phosphatase family membrane protein YuiD	235577	236032	-	
3300049256 assembled Ga0508132_00002_236041_236919	CDS	null	geranylgeranyl diphosphate synthase type II	236041	236919	-	
3300049256 assembled Ga0508132_00002_236919_237191	CDS	null	exodeoxyribonuclease VII small subunit	236919	237191	-	
3300049256 assembled Ga0508132_00002_237184_238401	CDS	null	exodeoxyribonuclease VII large subunit	237184	238401	-	
3300049256 assembled Ga0508132_00002_238474_238632	CDS	null	uncharacterized membrane protein	238474	238632	-	
3300049256 assembled Ga0508132_00002_238655_239548	CDS	null	N6-L-threonylcarbamoyladenine synthase	238655	239548	-	
3300049256 assembled Ga0508132_00002_239608_240012	CDS	null	N utilization substance protein B	239608	240012	-	
3300049256 assembled Ga0508132_00002_240031_240258	CDS	null	uncharacterized membrane protein	240031	240258	-	
3300049256 assembled Ga0508132_00002_240270_240809	CDS	null	uncharacterized alkaline shock family protein YloU	240270	240809	-	
3300049256 assembled Ga0508132_00002_240822_241217	CDS	null	uncharacterized alkaline shock family protein YloU	240822	241217	-	
3300049256 assembled Ga0508132_00002_241391_241921	CDS	null	stage III sporulation protein AH	241391	241921	-	
3300049256 assembled Ga0508132_00002_241931_242536	CDS	null	stage III sporulation protein AG	241931	242536	-	
3300049256 assembled Ga0508132_00002_242552_243142	CDS	null	stage III sporulation protein AF	242552	243142	-	
3300049256 assembled Ga0508132_00002_243162_244322	CDS	null	stage III sporulation protein AE	243162	244322	-	
3300049256 assembled Ga0508132_00002_244335_244721	CDS	null	stage III sporulation protein AD	244335	244721	-	
3300049256 assembled Ga0508132_00002_244733_244930	CDS	null	stage III sporulation protein AC	244733	244930	-	
3300049256 assembled Ga0508132_00002_244948_245469	CDS	null	stage III sporulation protein AB	244948	245469	-	
3300049256 assembled Ga0508132_00002_245459_246463	CDS	null	stage III sporulation protein AA	245459	246463	-	
3300049256 assembled Ga0508132_00002_24619_25692	CDS	null	two-component system chemotaxis response regulator CheB	24619	25692	-	
3300049256 assembled Ga0508132_00002_246608_247051	CDS	null	endogenous inhibitor of DNA gyrase (YacG/DUF329 family)	246608	247051	-	
3300049256 assembled Ga0508132_00002_247179_247736	CDS	null	elongation factor P	247179	247736	-	
3300049256 assembled Ga0508132_00002_247752_248813	CDS	null	Xaa-Pro aminopeptidase	247752	248813	-	
3300049256 assembled Ga0508132_00002_248810_249214	CDS	null	3-dehydroquinate dehydratase-2	248810	249214	-	
3300049256 assembled Ga0508132_00002_249347_250687	CDS	null	PmbA protein	249347	250687	-	
3300049256 assembled Ga0508132_00002_250761_252362	CDS	null	cell division protein FtsI/penicillin-binding protein 2	250761	252362	-	
3300049256 assembled Ga0508132_00002_252575_253096	CDS	null	hypothetical protein	252575	253096	+	
3300049256 assembled Ga0508132_00002_253312_253614	CDS	null	hypothetical protein	253312	253614	-	
3300049256 assembled Ga0508132_00002_253891_254115	CDS	null	hypothetical protein	253891	254115	-	
3300049256 assembled Ga0508132_00002_254108_255337	CDS	null	putative protease	254108	255337	-	
3300049256 assembled Ga0508132_00002_255334_255933	CDS	null	predicted O-methyltransferase YrrM	255334	255933	-	
3300049256 assembled Ga0508132_00002_255933_256946	CDS	null	UPF0755 protein	255933	256946	-	
3300049256 assembled Ga0508132_00002_257010_257345	CDS	null	uncharacterized protein YrzB (UPF0473 family)	257010	257345	-	
3300049256 assembled Ga0508132_00002_25704_26351	CDS	null	c-di-GMP-binding flagellar brake protein YcgR	25704	26351	-	
3300049256 assembled Ga0508132_00002_257400_257828	CDS	null	putative Holliday junction resolvase	257400	257828	-	
3300049256 assembled Ga0508132_00002_257865_258722	CDS	null	aryl-alcohol dehydrogenase-like predicted oxidoreductase	257865	258722	-	
3300049256 assembled Ga0508132_00002_258811_259041	CDS	null	uncharacterized protein (UPF0297 family)	258811	259041	-	
3300049256 assembled Ga0508132_00002_259190_261805	CDS	null	alanyl-tRNA synthetase	259190	261805	-	
3300049256 assembled Ga0508132_00002_261898_262881	CDS	null	predicted PurR-regulated permease PerM	261898	262881	-	
3300049256 assembled Ga0508132_00002_263012_263209	CDS	null	hypothetical protein	263012	263209	-	
3300049256 assembled Ga0508132_00002_263211_263405	CDS	null	hypothetical protein	263211	263405	-	
3300049256 assembled Ga0508132_00002_263410_263931	CDS	null	uncharacterized protein YrrD	263410	263931	-	
3300049256 assembled Ga0508132_00002_26371_27258	CDS	null	flagellar biosynthesis protein FlhG	26371	27258	-	
3300049256 assembled Ga0508132_00002_264007_265101	CDS	null	tRNA-specific 2-thiouridylase	264007	265101	-	
3300049256 assembled Ga0508132_00002_265110_265481	CDS	null	nitrogen fixation NifU-like protein	265110	265481	-	
3300049256 assembled Ga0508132_00002_265503_266714	CDS	null	cysteine desulfurase	265503	266714	-	
3300049256 assembled Ga0508132_00002_266726_267166	CDS	null	Rrf2 family protein	266726	267166	-	
3300049256 assembled Ga0508132_00002_267316_268065	CDS	null	putative ABC transport system permease protein	267316	268065	-	
3300049256 assembled Ga0508132_00002_268052_268819	CDS	null	putative ABC transport system ATP-binding protein	268052	268819	-	
3300049256 assembled Ga0508132_00002_269016_269456	CDS	null	hypothetical protein	269016	269456	+	
3300049256 assembled Ga0508132_00002_269497_270804	CDS	null	putative ATPase	269497	270804	-	
3300049256 assembled Ga0508132_00002_270832_271785	CDS	null	threonine aldolase	270832	271785	-	
3300049256 assembled Ga0508132_00002_271980_272160	ncRNA	null	6S / SsrS RNA	271980	272160	-	
3300049256 assembled Ga0508132_00002_272291_274069	CDS	null	aspartyl-tRNA synthetase	272291	274069	-	
3300049256 assembled Ga0508132_00002_27260_28354	CDS	null	flagellar biosynthesis protein FlhF	27260	28354	-	
3300049256 assembled Ga0508132_00002_274082_275350	CDS	null	histidyl-tRNA synthetase	274082	275350	-	
3300049256 assembled Ga0508132_00002_275359_276882	CDS	null	oxygen-independent coproporphyrinogen-3 oxidase	275359	276882	-	
3300049256 assembled Ga0508132_00002_2754_6416	CDS	null	DNA polymerase-3 subunit alpha (Gram-positive type)	2754	6416	-	
3300049256 assembled Ga0508132_00002_276872_277309	CDS	null	Fur family ferric uptake transcriptional regulator	276872	277309	-	
3300049256 assembled Ga0508132_00002_277333_278367	CDS	null	predicted PurR-regulated permease PerM	277333	278367	-	
3300049256 assembled Ga0508132_00002_278389_278994	CDS	null	glyoxylase-like metal-dependent hydrolase (beta-lactamase superfamily II)	278389	278994	-	
3300049256 assembled Ga0508132_00002_279023_279472	CDS	null	D-tyrosyl-tRNA(Tyr) deacylase	279023	279472	-	
3300049256 assembled Ga0508132_00002_279469_281679	CDS	null	GTP pyrophosphokinase	279469	281679	-	
3300049256 assembled Ga0508132_00002_281713_282225	CDS	null	adenine phosphoribosyltransferase	281713	282225	-	
3300049256 assembled Ga0508132_00002_282228_284747	CDS	null	single-stranded-DNA-specific exonuclease	282228	284747	-	
3300049256 assembled Ga0508132_00002_28355_30418	CDS	null	flagellar biosynthesis protein FlhA	28355	30418	-	
3300049256 assembled Ga0508132_00002_284773_285084	CDS	null	uncharacterized integral membrane protein	284773	285084	-	
3300049256 assembled Ga0508132_00002_285223_285657	CDS	null	uncharacterized protein YqgC (DUF456 family)	285223	285657	-	
3300049256 assembled Ga0508132_00002_285727_286746	CDS	null	hypothetical protein	285727	286746	-	
3300049256 assembled Ga0508132_00002_286843_287673	CDS	null	preprotein translocase subunit SecF	286843	287673	-	
3300049256 assembled Ga0508132_00002_287770_288960	CDS	null	preprotein translocase subunit SecD	287770	288960	-	
3300049256 assembled Ga0508132_00002_289063_289581	CDS	null	metal-dependent HD superfamily phosphatase/phosphodiesterase	289063	289581	-	
3300049256 assembled Ga0508132_00002_289664_290068	CDS	null	adenylate kinase	289664	290068	-	
3300049256 assembled Ga0508132_00002_290097_290801	CDS	null	serine phosphatase RsbU (regulator of sigma subunit)	290097	290801	-	
3300049256 assembled Ga0508132_00002_290836_291417	CDS	null	5-formyltetrahydrofolate cyclo-ligase	290836	291417	-	
3300049256 assembled Ga0508132_00002_291423_291719	CDS	null	preprotein translocase subunit YajC	291423	291719	-	
3300049256 assembled Ga0508132_00002_291776_292891	CDS	null	queuine tRNA-ribosyltransferase	291776	292891	-	
3300049256 assembled Ga0508132_00002_292911_293927	CDS	null	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	292911	293927	-	
3300049256 assembled Ga0508132_00002_293942_295264	CDS	null	stage II sporulation protein D	293942	295264	-	
3300049256 assembled Ga0508132_00002_295284_295511	CDS	null	NAD/NADP transhydrogenase beta subunit	295284	295511	-	
3300049256 assembled Ga0508132_00002_295514_296053	CDS	null	predicted adenine nucleotide alpha hydrolase (AANH) superfamily ATPase	295514	296053	-	
3300049256 assembled Ga0508132_00002_296072_297103	CDS	null	Holliday junction DNA helicase RuvB	296072	297103	-	
3300049256 assembled Ga0508132_00002_297107_297709	CDS	null	Holliday junction DNA helicase RuvA	297107	297709	-	
3300049256 assembled Ga0508132_00002_297706_298296	CDS	null	crossover junction endodeoxyribonuclease RuvC	297706	298296	-	
3300049256 assembled Ga0508132_00002_298329_298904	CDS	null	hypothetical protein	298329	298904	-	
3300049256 assembled Ga0508132_00002_299014_299760	CDS	null	YebC/PmpR family DNA-binding regulatory protein	299014	299760	-	
